Date,Open,High,Low,Close,Adj Close,Volume
2016-07-25,24.280001,24.490000,24.280001,24.490000,23.379841,0
2016-08-01,24.430000,24.500000,24.290001,24.500000,23.389389,0
2016-08-08,24.500000,24.650000,24.500000,24.650000,23.532589,0
2016-08-15,24.719999,24.740000,24.660000,24.690001,23.570776,0
2016-08-22,24.700001,24.770000,24.600000,24.600000,23.484856,0
2016-08-29,24.690001,24.760000,24.639999,24.760000,23.637602,0
2016-09-05,24.870001,24.889999,24.430000,24.430000,23.322561,0
2016-09-12,24.610001,24.610001,24.320000,24.389999,23.284374,0
2016-09-19,24.420000,24.830000,24.420000,24.730000,23.608961,0
2016-09-26,24.600000,24.809999,24.600000,24.770000,23.647150,0
2016-10-03,24.750000,24.770000,24.680000,24.680000,23.561228,0
2016-10-10,24.719999,24.719999,24.379999,24.379999,23.274828,0
2016-10-17,24.340000,24.549999,24.340000,24.540001,23.427576,0
2016-10-24,24.580000,24.580000,24.320000,24.320000,23.217546,0
2016-10-31,24.320000,24.320000,24.010000,24.010000,22.921600,0
2016-11-07,24.299999,24.379999,24.299999,24.299999,23.198452,0
2016-11-14,24.250000,24.410000,24.250000,24.320000,23.217546,0
2016-11-21,24.440001,24.490000,24.440001,24.490000,23.379841,0
2016-11-28,24.430000,24.469999,24.290001,24.309999,23.208000,0
2016-12-05,24.450001,24.770000,24.450001,24.770000,23.647150,0
2016-12-12,24.709999,24.830000,24.610001,24.610001,23.494404,0
2016-12-19,24.660000,24.700001,24.629999,24.680000,23.561228,0
2016-12-26,24.709999,24.709999,23.670000,23.680000,22.606560,0
2017-01-02,23.820000,24.049999,23.820000,24.049999,23.886839,0
2017-01-09,24.040001,24.160000,24.040001,24.160000,23.996094,0
2017-01-16,24.100000,24.100000,24.020000,24.059999,23.896772,0
2017-01-23,24.080000,24.280001,24.080000,24.270000,24.105349,0
2017-01-30,24.160000,24.309999,24.160000,24.309999,24.145075,0
2017-02-06,24.299999,24.469999,24.299999,24.469999,24.303989,0
2017-02-13,24.540001,24.650000,24.540001,24.650000,24.482769,0
2017-02-20,24.740000,24.740000,24.730000,24.740000,24.572159,0
2017-02-27,24.750000,24.850000,24.690001,24.780001,24.611889,0
2017-03-06,24.709999,24.709999,24.580000,24.670000,24.502634,0
2017-03-13,24.690001,24.879999,24.629999,24.879999,24.711208,0
2017-03-20,24.879999,24.879999,24.709999,24.770000,24.601955,0
2017-03-27,24.799999,24.930000,24.799999,24.900000,24.731073,0
2017-04-03,24.900000,24.900000,24.840000,24.850000,24.681414,0
2017-04-10,24.870001,24.900000,24.780001,24.780001,24.611889,0
2017-04-17,24.900000,24.959999,24.840000,24.930000,24.760870,0
2017-04-24,25.160000,25.299999,25.160000,25.260000,25.088631,0
2017-05-01,25.290001,25.459999,25.290001,25.459999,25.287273,0
2017-05-08,25.420000,25.500000,25.420000,25.500000,25.327003,0
2017-05-15,25.590000,25.639999,25.389999,25.570000,25.396528,0
2017-05-22,25.650000,25.760000,25.629999,25.760000,25.585239,0
2017-05-29,25.740000,26.000000,25.740000,26.000000,25.823610,0
2017-06-05,25.959999,25.969999,25.910000,25.910000,25.734221,0
2017-06-12,25.860001,25.959999,25.860001,25.910000,25.734221,0
2017-06-19,26.070000,26.080000,25.969999,26.080000,25.903069,0
2017-06-26,26.090000,26.090000,25.760000,25.760000,25.585239,0
2017-07-03,25.750000,25.790001,25.629999,25.709999,25.709999,0
2017-07-10,25.760000,26.090000,25.760000,26.090000,26.090000,0
2017-07-17,26.090000,26.230000,26.090000,26.219999,26.219999,0
