Date,Open,High,Low,Close,Adj Close,Volume
2016-07-25,null,null,null,null,null,null
2016-07-26,null,null,null,null,null,null
2016-07-27,null,null,null,null,null,null
2016-07-28,null,null,null,null,null,null
2016-07-29,null,null,null,null,null,null
2016-08-01,null,null,null,null,null,null
2016-08-02,null,null,null,null,null,null
2016-08-03,null,null,null,null,null,null
2016-08-04,null,null,null,null,null,null
2016-08-05,null,null,null,null,null,null
2016-08-08,null,null,null,null,null,null
2016-08-09,null,null,null,null,null,null
2016-08-10,null,null,null,null,null,null
2016-08-11,null,null,null,null,null,null
2016-08-12,null,null,null,null,null,null
2016-08-15,null,null,null,null,null,null
2016-08-16,null,null,null,null,null,null
2016-08-17,null,null,null,null,null,null
2016-08-18,null,null,null,null,null,null
2016-08-19,6.830000,6.830000,6.830000,6.830000,6.647078,0
2016-08-22,6.880000,6.880000,6.880000,6.880000,6.695739,0
2016-08-23,6.880000,6.880000,6.880000,6.880000,6.695739,0
2016-08-24,6.870000,6.870000,6.870000,6.870000,6.686007,0
2016-08-25,6.840000,6.840000,6.840000,6.840000,6.656810,0
2016-08-26,6.810000,6.810000,6.810000,6.810000,6.627615,0
2016-08-29,6.900000,6.900000,6.900000,6.900000,6.715204,0
2016-08-30,6.870000,6.870000,6.870000,6.870000,6.686007,0
2016-08-31,6.880000,6.880000,6.880000,6.880000,6.709412,0
2016-09-01,6.890000,6.890000,6.890000,6.890000,6.719164,0
2016-09-02,6.830000,6.830000,6.830000,6.830000,6.660652,0
2016-09-06,6.880000,6.880000,6.880000,6.880000,6.709412,0
2016-09-07,6.880000,6.880000,6.880000,6.880000,6.709412,0
2016-09-08,6.800000,6.800000,6.800000,6.800000,6.631395,0
2016-09-09,6.690000,6.690000,6.690000,6.690000,6.524123,0
2016-09-12,6.700000,6.700000,6.700000,6.700000,6.533875,0
2016-09-13,6.630000,6.630000,6.630000,6.630000,6.465611,0
2016-09-14,6.640000,6.640000,6.640000,6.640000,6.475362,0
2016-09-15,6.610000,6.610000,6.610000,6.610000,6.446106,0
2016-09-16,6.660000,6.660000,6.660000,6.660000,6.494866,0
2016-09-19,6.630000,6.630000,6.630000,6.630000,6.465611,0
2016-09-20,6.660000,6.660000,6.660000,6.660000,6.494866,0
2016-09-21,6.710000,6.710000,6.710000,6.710000,6.543626,0
2016-09-22,6.760000,6.760000,6.760000,6.760000,6.592387,0
2016-09-23,6.750000,6.750000,6.750000,6.750000,6.582635,0
2016-09-26,6.790000,6.790000,6.790000,6.790000,6.621644,0
2016-09-27,6.830000,6.830000,6.830000,6.830000,6.660652,0
2016-09-28,6.820000,6.820000,6.820000,6.820000,6.650899,0
2016-09-29,6.830000,6.830000,6.830000,6.830000,6.660652,0
2016-09-30,6.790000,6.790000,6.790000,6.790000,6.635244,0
2016-10-03,6.760000,6.760000,6.760000,6.760000,6.605928,0
2016-10-04,6.690000,6.690000,6.690000,6.690000,6.537524,0
2016-10-05,6.660000,6.660000,6.660000,6.660000,6.508207,0
2016-10-06,6.620000,6.620000,6.620000,6.620000,6.469118,0
2016-10-07,6.630000,6.630000,6.630000,6.630000,6.478892,0
2016-10-10,6.580000,6.580000,6.580000,6.580000,6.430031,0
2016-10-11,6.570000,6.570000,6.570000,6.570000,6.420259,0
2016-10-12,6.580000,6.580000,6.580000,6.580000,6.430031,0
2016-10-13,6.600000,6.600000,6.600000,6.600000,6.449574,0
2016-10-14,6.520000,6.520000,6.520000,6.520000,6.371398,0
2016-10-17,6.560000,6.560000,6.560000,6.560000,6.410486,0
2016-10-18,6.580000,6.580000,6.580000,6.580000,6.430031,0
2016-10-19,6.580000,6.580000,6.580000,6.580000,6.430031,0
2016-10-20,6.590000,6.590000,6.590000,6.590000,6.439803,0
2016-10-21,6.600000,6.600000,6.600000,6.600000,6.449574,0
2016-10-24,6.570000,6.570000,6.570000,6.570000,6.420259,0
2016-10-25,6.580000,6.580000,6.580000,6.580000,6.430031,0
2016-10-26,6.540000,6.540000,6.540000,6.540000,6.390943,0
2016-10-27,6.480000,6.480000,6.480000,6.480000,6.332310,0
2016-10-28,6.470000,6.470000,6.470000,6.470000,6.322537,0
2016-10-31,6.500000,6.500000,6.500000,6.500000,6.364642,0
2016-11-01,6.500000,6.500000,6.500000,6.500000,6.364642,0
2016-11-02,6.530000,6.530000,6.530000,6.530000,6.394017,0
2016-11-03,6.490000,6.490000,6.490000,6.490000,6.354850,0
2016-11-04,6.540000,6.540000,6.540000,6.540000,6.403810,0
2016-11-07,6.480000,6.480000,6.480000,6.480000,6.345059,0
2016-11-08,6.460000,6.460000,6.460000,6.460000,6.325475,0
2016-11-09,6.210000,6.210000,6.210000,6.210000,6.080681,0
2016-11-10,6.120000,6.120000,6.120000,6.120000,5.992555,0
2016-11-11,6.090000,6.090000,6.090000,6.090000,5.963180,0
2016-11-14,6.040000,6.040000,6.040000,6.040000,5.914221,0
2016-11-15,6.070000,6.070000,6.070000,6.070000,5.943598,0
2016-11-16,6.110000,6.110000,6.110000,6.110000,5.982764,0
2016-11-17,6.030000,6.030000,6.030000,6.030000,5.904430,0
2016-11-18,6.000000,6.000000,6.000000,6.000000,5.875054,0
2016-11-21,6.020000,6.020000,6.020000,6.020000,5.894638,0
2016-11-22,6.010000,6.010000,6.010000,6.010000,5.884846,0
2016-11-23,5.990000,5.990000,5.990000,5.990000,5.865263,0
2016-11-25,5.990000,5.990000,5.990000,5.990000,5.865263,0
2016-11-28,6.040000,6.040000,6.040000,6.040000,5.914221,0
2016-11-29,6.060000,6.060000,6.060000,6.060000,5.933805,0
2016-11-30,5.970000,5.970000,5.970000,5.970000,5.859215,0
2016-12-01,5.910000,5.910000,5.910000,5.910000,5.800328,0
2016-12-02,5.950000,5.950000,5.950000,5.950000,5.839586,0
2016-12-05,5.940000,5.940000,5.940000,5.940000,5.829772,0
2016-12-06,5.940000,5.940000,5.940000,5.940000,5.829772,0
2016-12-07,5.990000,5.990000,5.990000,5.990000,5.878843,0
2016-12-08,5.930000,5.930000,5.930000,5.930000,5.819958,0
2016-12-09,5.860000,5.860000,5.860000,5.860000,5.751256,0
