Date,Open,High,Low,Close,Adj Close,Volume
2016-07-25,101.580002,102.720001,101.580002,102.720001,99.091797,0
2016-08-01,102.239998,102.239998,101.529999,101.529999,97.943825,0
2016-08-08,101.510002,102.220001,101.510002,102.150002,98.541931,0
2016-08-15,101.660004,102.269997,101.660004,101.889999,98.291115,0
2016-08-22,102.199997,102.199997,101.529999,101.529999,97.943825,0
2016-08-29,102.070000,102.110001,101.790001,101.790001,98.194649,0
2016-09-05,102.320000,102.320000,101.120003,101.120003,97.548317,0
2016-09-12,101.180000,101.180000,100.739998,100.989998,97.422897,0
2016-09-19,100.860001,101.680000,100.860001,101.680000,98.088531,0
2016-09-26,102.000000,102.290001,101.919998,101.919998,98.320053,0
2016-10-03,101.690002,101.690002,100.680000,100.779999,97.220322,0
2016-10-10,100.440002,100.580002,100.199997,100.199997,96.660805,0
2016-10-17,100.449997,100.870003,100.449997,100.870003,97.307144,0
2016-10-24,100.690002,100.709999,99.930000,99.930000,96.400345,0
2016-10-31,100.089996,100.550003,100.089996,100.550003,96.998444,0
2016-11-07,100.169998,100.169998,97.129997,97.129997,93.699242,0
2016-11-14,96.410004,96.580002,95.570000,95.570000,92.194344,0
2016-11-21,95.669998,95.860001,95.470001,95.470001,92.097878,0
2016-11-28,95.849998,95.980003,94.820000,95.230003,91.866356,0
2016-12-05,95.279999,95.660004,94.440002,94.440002,91.104256,0
2016-12-12,94.620003,94.690002,93.540001,93.709999,93.709999,0
2016-12-19,94.199997,94.220001,93.980003,94.220001,94.220001,0
2016-12-26,94.000000,94.889999,94.000000,94.889999,94.889999,0
2017-01-02,94.980003,95.750000,94.980003,95.250000,95.250000,0
2017-01-09,95.639999,95.820000,95.529999,95.529999,95.529999,0
2017-01-16,96.089996,96.089996,94.839996,94.839996,94.839996,0
2017-01-23,95.440002,95.440002,94.529999,94.830002,94.830002,0
2017-01-30,94.870003,95.129997,94.870003,95.019997,95.019997,0
2017-02-06,95.449997,96.150002,95.360001,95.360001,95.360001,0
2017-02-13,95.250000,95.379997,94.720001,95.379997,95.379997,0
2017-02-20,95.269997,96.190002,95.269997,96.190002,96.190002,0
2017-02-27,95.849998,96.089996,95.129997,95.129997,95.129997,0
2017-03-06,95.089996,95.089996,94.279999,94.470001,94.470001,0
2017-03-13,94.199997,95.120003,94.199997,95.120003,95.120003,0
2017-03-20,95.400002,95.980003,95.400002,95.940002,95.940002,0
2017-03-27,96.230003,96.349998,95.910004,96.349998,96.349998,0
2017-04-03,96.970001,96.970001,96.720001,96.720001,96.720001,0
2017-04-10,96.809998,97.889999,96.809998,97.889999,97.889999,0
2017-04-17,97.769997,98.379997,97.769997,97.940002,97.940002,0
2017-04-24,97.660004,97.660004,97.040001,97.519997,97.519997,0
2017-05-01,97.250000,97.550003,96.959999,97.050003,97.050003,0
2017-05-08,96.790001,97.620003,96.629997,97.620003,97.620003,0
2017-05-15,97.500000,98.550003,97.500000,98.440002,98.440002,0
2017-05-22,98.220001,98.269997,97.930000,98.269997,98.269997,0
2017-05-29,98.809998,99.309998,98.769997,99.309998,99.309998,0
2017-06-05,99.089996,99.389999,98.900002,98.900002,98.900002,0
2017-06-12,98.910004,99.550003,98.910004,99.440002,99.440002,0
2017-06-19,99.139999,99.559998,99.139999,99.559998,99.559998,0
2017-06-26,100.070000,100.070000,98.889999,98.889999,98.889999,0
2017-07-03,98.489998,98.500000,98.230003,98.230003,98.230003,0
2017-07-10,98.360001,98.790001,98.360001,98.790001,98.790001,0
2017-07-17,98.900002,99.570000,98.900002,99.570000,99.570000,0
