Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,31.000000,31.219999,30.830000,31.080000,30.471827,0
2016-09-01,31.090000,31.270000,30.600000,30.950001,30.344370,0
2016-10-01,30.879999,30.879999,30.410000,30.430000,29.982512,0
2016-11-01,30.299999,31.049999,30.090000,30.920000,30.465305,0
2016-12-01,30.809999,31.510000,30.809999,31.110001,30.652514,0
2017-01-01,31.270000,31.620001,31.270000,31.500000,31.221838,0
2017-02-01,31.480000,32.360001,31.480000,32.279999,31.994951,0
2017-03-01,32.490002,32.490002,32.049999,32.139999,31.856186,0
2017-04-01,32.130001,32.500000,31.980000,32.439999,32.300491,0
2017-05-01,32.459999,32.740002,32.270000,32.730000,32.589249,0
2017-06-01,32.910000,33.150002,32.750000,32.770000,32.629074,0
2017-07-01,32.799999,33.240002,32.610001,33.240002,33.240002,0
